Rk,Player,Age,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
1,Brianna Turner,26,40,1052,9.9,0.646,0.65,0,0.117,6,23.3,14.9,7.4,1.9,3.5,35.7,7.5,97,106,,0.1,1.1,1.1,0.043
2,Sug Sutton,24,40,1051,9.6,0.464,0.43,0.274,0.174,1.7,10.1,6,30.8,1.3,0.2,21.9,20.1,90,113,,-1,-0.1,-1,-0.04
3,Moriah Jefferson,29,39,972,14,0.509,0.484,0.282,0.132,1.2,8.5,4.9,26.8,2.3,0.6,13.5,22.4,99,111,,0.6,0.2,0.8,0.031
4,Michaela Onyenwere,23,40,953,9.4,0.498,0.458,0.345,0.245,6.4,12.6,9.6,9.4,1.6,1.7,18.5,21.5,89,111,,-1,0.3,-0.7,-0.03
5,Sophie Cunningham,26,31,898,12.1,0.575,0.52,0.639,0.297,2.4,9.6,6.1,12.4,1.2,1,13.1,18.2,107,113,,1.4,-0.1,1.3,0.057
6,Brittney Griner,32,31,856,25.1,0.605,0.563,0.023,0.349,5.7,22.2,14.1,17.6,1,4.9,12.8,28.2,110,107,,2.4,0.7,3.1,0.146
7,Diana Taurasi,41,26,709,17.8,0.565,0.503,0.588,0.352,0.4,15.5,8.1,32.1,1,1.4,17.5,29.4,103,111,,1,0.1,1.1,0.065
8,Megan Gustafson,26,34,514,20.2,0.608,0.564,0.222,0.32,11.4,20,15.8,9.5,1.3,2.3,14.3,23.5,111,109,,1.3,0.3,1.6,0.124
9,Kadi Sissoko,24,40,336,1.7,0.427,0.395,0.29,0.258,6.4,16.2,11.4,3.7,0.5,1.3,27.4,13.2,73,112,,-0.8,0,-0.8,-0.091
10,Shey Peddy,34,18,285,13.1,0.506,0.464,0.548,0.238,3.1,10.6,7,19.3,2.9,0,9.7,16.9,107,109,,0.4,0.1,0.5,0.074
11,Ashley Joens,23,8,107,7.2,0.565,0.548,0.645,0.065,0,10.2,5.2,1.6,1,0,13.6,16.1,93,114,,0,0,-0.1,-0.02
12,Evina Westbrook,24,9,72,-3.9,0.221,0.1,0.55,0.3,1.8,13.4,7.7,8.2,0.7,1.2,15,17.3,52,113,,-0.4,0,-0.4,-0.222
13,Jennie Simms,29,6,70,2.4,0.381,0.286,0.357,0.5,7.3,15.5,11.5,6.6,1.5,0,26,15.4,72,111,,-0.2,0,-0.2,-0.105
14,Liz Dixon,22,10,56,20.8,0.656,0.571,0,0.571,18.2,10.8,14.4,3.2,0,3,10.2,16.3,133,114,,0.3,0,0.2,0.174
15,Madi Williams,23,5,46,-2.8,0.333,0.333,0.2,0,5.5,7.9,6.7,3.6,2.3,1.8,28.6,21.3,54,110,,-0.3,0,-0.3,-0.253
16,Destanni Henderson,24,5,31,0.2,0.322,0.25,0.5,0.2,4.1,11.7,8,10,0,0,8.4,17.9,76,116,,-0.1,0,-0.1,-0.123
17,Sam Thomas,24,1,11,-8.7,0,0,0,0,0,11,5.6,0,0,0,0,8.5,0,116,,-0.1,0,-0.1,-0.23
18,Alaina Coates,28,2,5,25.6,1,1,0,0,0,0,0,0,10.4,0,0,9.4,200,96,,0,0,0,0.262